"Hs_symbol","DRG","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",14.4996,14.4996,18.566797,13.425058,13.989052,15.326969,0.94932500943684
"A1CF",0,0,0.232084,0.063162,0.004811,0.100019,0.90907520688279
"A2M",162.84087,162.84087,20.514891,0.866071,0.291101,7.224021,19.9222339048016
"A2ML1",1.18129,1.18129,0.466725,0.673839,0.170052,0.436872,1.51808233440418
"A2MP1",0.39725,0.39725,0.061885,0.170176,0.221341,0.151134,1.21380308461048
"A4GALT",72.86389,72.86389,13.724676,11.545392,14.652328,13.3074653333333,5.16261184487464
"A4GNT",0.02091,0.02091,0.153016,0.028124,0,0.06038,0.962777494860333
"AAAS",30.26413,30.26413,13.508489,16.738215,19.022055,16.4229196666667,1.79442542341593
"AACS",31.73813,31.73813,15.145339,10.858128,8.980095,11.6611873333333,2.58570773325577
"AACSP1",0,0,0.721078,1.223639,1.219131,1.054616,0.486708951940411
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0.011945,0,0.00398166666666667,0.996034124129093
"AADACL4",0.01045,0.01045,0.043998,0,0,0.014666,0.995844938137279
"AADAT",3.94113,3.94113,16.560745,15.539194,12.933418,15.011119,0.308606163004597
"AAGAB",29.97142,29.97142,41.413864,42.849994,35.918127,40.0606616666667,0.754284484050164
"AAK1",5.18515,5.18515,11.518232,13.289394,13.438405,12.748677,0.449872376811238
"AAMP",123.36683,123.36683,72.348646,70.27047,54.966626,65.861914,1.86005488864707
"AANAT",1.03494,1.03494,0.253842,0.182542,0.515652,0.317345333333333,1.54472783142664
"AAR2",18.44073,18.44073,9.862522,12.742074,9.815474,10.80669,1.64658596101024
"AARD",4.22339,4.22339,0.160926,0.129803,0.240983,0.177237333333333,4.43698976586992
"AARS2",8.61404,8.61404,4.02726,4.870429,3.692426,4.196705,1.85002612232174
"AARSD1",51.0779,51.0779,57.596898,71.665882,48.347544,59.2034413333333,0.865031945792866
"AASDH",3.3348,3.3348,5.317648,4.075445,5.487073,4.96005533333333,0.727308683823181
"AASDHPPT",24.47265,24.47265,104.747918,110.344793,89.985303,101.692671333333,0.248047398799448
"AASS",7.33866,7.33866,2.628604,2.250706,1.439504,2.10627133333333,2.68445963188019
"AATF",42.6834,42.6834,16.465887,17.429714,15.691305,16.5289686666667,2.4920690333065
"AATK",173.04391,173.04391,16.385879,16.887406,16.473264,16.582183,9.89887945086227
"ABAT",14.94912,14.94912,59.088785,64.587057,41.158971,54.9449376666667,0.285086026818524
"ABCA1",3.21981,3.21981,4.587007,4.124422,3.096802,3.936077,0.854891445169919
"ABCA10",17.14445,17.14445,1.20466,0.95142,0.489229,0.881769666666667,9.64222684710438
"ABCA11P",2.91665,2.91665,1.784649,1.474793,0.919267,1.392903,1.63677758772504
"ABCA12",0.04182,0.04182,0.060479,0.006374,0,0.0222843333333333,1.01910981713176
"ABCA13",0.31362,0.31362,0.018797,0.084847,0.059631,0.054425,1.24581644023994
"ABCA17P",3.9934,3.9934,4.66571,1.657589,2.029971,2.78442333333333,1.3194612653447
"ABCA2",190.96195,190.96195,86.10463,86.558699,80.710993,84.4581073333333,2.24626961665841
"ABCA3",75.62373,75.62373,55.59978,54.652489,44.714698,51.6556556666667,1.45518518438099
"ABCA4",0.33453,0.33453,0.709647,0.545438,0.159905,0.471663333333333,0.906817455985178
"ABCA5",12.96287,12.96287,10.668791,9.107596,7.662206,9.14619766666667,1.37616774862097
"ABCA6",12.28337,12.28337,0.332708,0.201177,0.26943,0.267771666666667,10.477730611322
"ABCA7",45.76731,45.76731,42.45405,52.111696,39.796489,44.7874116666667,1.02140104228793
"ABCA8",65.06526,65.06526,0.244206,0.413915,0.141469,0.26653,52.1624122602702
"ABCA9",5.22697,5.22697,4.035468,0.682386,0.739211,1.81902166666667,2.20891172055554
"ABCB1",8.45723,8.45723,2.608253,0.395444,0.72192,1.24187233333333,4.21845163053442
"ABCB10",3.61706,3.61706,4.784184,6.526598,5.638334,5.64970533333333,0.694325502944592
"ABCB11",0,0,1.713152,2.345963,2.257067,2.105394,0.32202032978746
"ABCB4",0.57497,0.57497,2.613821,0.236469,0.112046,0.987445333333333,0.792459532639556
"ABCB5",0.01045,0.01045,0.031732,0.170177,0.033162,0.078357,0.937027348086024
"ABCB6",58.67791,58.67791,39.80428,30.533985,38.474452,36.2709056666667,1.60119291260939
"ABCB7",7.97635,7.97635,6.507055,5.040312,4.209266,5.252211,1.43570810390116
"ABCB8",33.23304,33.23304,21.51191,19.464312,14.629305,18.5351756666667,1.75237943001519
"ABCB9",31.39315,31.39315,13.522164,13.523465,13.352624,13.4660843333333,2.23924797157157
"ABCC1",3.54388,3.54388,11.500209,10.367327,9.302465,10.3900003333333,0.398935897016801
"ABCC10",18.64981,18.64981,36.128396,35.014973,37.78168,36.3083496666667,0.526686657961615
"ABCC11",0.16726,0.16726,0.147705,0.168729,0.111362,0.142598666666667,1.02158354814581
"ABCC12",0.15681,0.15681,0,0,0,0,1.15681
"ABCC13",0.35543,0.35543,0.065046,0,0.010734,0.02526,1.32203538614595
"ABCC2",0.06272,0.06272,0.525342,0.194318,0.093136,0.270932,0.836173768541511
"ABCC3",1.82944,1.82944,0.735677,0.386222,0.301105,0.474334666666667,1.91913007539672
"ABCC4",3.8575,3.8575,7.050166,6.396275,5.373786,6.273409,0.667843648006045
"ABCC5",25.43441,25.43441,40.658816,35.616212,29.02946,35.101496,0.732224780934286
"ABCC6",0.45997,0.45997,1.563937,2.080382,1.038311,1.56087666666667,0.570105549792194
"ABCC6P1",0.07318,0.07318,0.326616,0.114229,0.382804,0.274549666666667,0.842007203067018
"ABCC6P2",0.09409,0.09409,0.427513,0.600883,0.259824,0.429406666666667,0.765415487078555
