"Hs_symbol","DRG","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"A1BG",14.4996,14.4996,8.512248,7.362639,11.019571,8.96481933333333,1.55543211387208
"A1CF",0,0,0.012027,0,0.110455,0.0408273333333333,0.960774153381829
"A2M",162.84087,162.84087,166.022861,193.59196,157.990809,172.53521,0.944136178473521
"A2ML1",1.18129,1.18129,0.804659,0.257959,0.950643,0.671087,1.30531205137734
"A2MP1",0.39725,0.39725,0,0.07058,0.098361,0.0563136666666667,1.32276050579673
"A4GALT",72.86389,72.86389,4.719891,2.211286,2.676825,3.20266733333333,17.575478652367
"A4GNT",0.02091,0.02091,0.099138,0,0,0.033046,0.988252217229436
"AAAS",30.26413,30.26413,22.215928,24.455156,21.480131,22.7170716666667,1.31821206426341
"AACS",31.73813,31.73813,17.933589,18.199238,25.629245,20.5873573333333,1.51654181169497
"AACSP1",0,0,0.872217,1.108501,1.29987,1.09352933333333,0.47766228257609
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0.016678,0.00555933333333333,0.994471401985893
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.01045,0.01045,0,0,0,0,1.01045
"AADAT",3.94113,3.94113,13.595651,16.190365,22.775181,17.520399,0.266793928143773
"AAGAB",29.97142,29.97142,22.912872,27.695939,31.184347,27.264386,1.09577543980612
"AAK1",5.18515,5.18515,11.479212,14.408764,9.576512,11.821496,0.482404705347956
"AAMP",123.36683,123.36683,63.531145,62.598294,71.307854,65.812431,1.86143249300418
"AANAT",1.03494,1.03494,0.21683,0.243358,0.326805,0.262331,1.61204945454085
"AAR2",18.44073,18.44073,10.815465,10.804659,13.984677,11.868267,1.5107496603855
"AARD",4.22339,4.22339,1.609116,1.070727,1.582262,1.42070166666667,2.15779997672851
"AARS2",8.61404,8.61404,5.079803,4.491045,5.615728,5.062192,1.58590160126898
"AARSD1",51.0779,51.0779,51.795203,58.156602,82.475187,64.1423306666667,0.799447908403564
"AASDH",3.3348,3.3348,6.432077,7.774202,3.850395,6.01889133333333,0.617590413376775
"AASDHPPT",24.47265,24.47265,58.628575,94.077285,98.573128,83.7596626666667,0.300527977561402
"AASS",7.33866,7.33866,13.774036,8.645864,8.691924,10.370608,0.733352165513049
"AATF",42.6834,42.6834,15.556557,12.511396,24.184485,17.4174793333333,2.37184465959674
"AATK",173.04391,173.04391,10.041919,13.414946,14.753141,12.7366686666667,12.6700231492323
"ABAT",14.94912,14.94912,20.235765,20.679629,22.875907,21.263767,0.716371133420503
"ABCA1",3.21981,3.21981,9.443781,4.284659,2.688057,5.47216566666667,0.651993508406794
"ABCA10",17.14445,17.14445,4.203212,3.140601,2.629465,3.324426,4.19580540862533
"ABCA11P",2.91665,2.91665,2.951542,3.925685,3.428422,3.43521633333333,0.883079810687927
"ABCA12",0.04182,0.04182,0.045172,0.022129,0.054667,0.040656,1.00111852523793
"ABCA13",0.31362,0.31362,0.473253,0.153458,0.298046,0.308252333333333,1.00410292917498
"ABCA17P",3.9934,3.9934,3.708489,2.524203,3.578368,3.27035333333333,1.16931776137181
"ABCA2",190.96195,190.96195,65.073528,68.481942,65.791533,66.449001,2.84603103313569
"ABCA3",75.62373,75.62373,27.609577,42.459618,39.449413,36.5062026666667,2.04296155174618
"ABCA4",0.33453,0.33453,1.143229,0.018773,0.021485,0.394495666666667,0.956998312651623
"ABCA5",12.96287,12.96287,12.626236,11.918269,12.828291,12.4575986666667,1.03754543034374
"ABCA6",12.28337,12.28337,1.147123,0.606076,1.259058,1.00408566666667,6.62814480485448
"ABCA7",45.76731,45.76731,22.668326,32.522392,34.714621,29.9684463333333,1.51016003504384
"ABCA8",65.06526,65.06526,41.403634,26.861255,35.063602,34.4428303333333,1.86399504155476
"ABCA9",5.22697,5.22697,1.381284,1.137468,5.074584,2.531112,1.76345864985308
"ABCB1",8.45723,8.45723,0.30007,0.314046,0.298593,0.304236333333333,7.25116281328358
"ABCB10",3.61706,3.61706,4.896031,7.84716,8.051324,6.931505,0.582116508783642
"ABCB11",0,0,1.175122,1.322998,0.805546,1.101222,0.475913539835391
"ABCB4",0.57497,0.57497,2.033786,0.852535,0.451585,1.11263533333333,0.745500169929942
"ABCB5",0.01045,0.01045,0.028091,0.34729,0.350931,0.242104,0.813498708642755
"ABCB6",58.67791,58.67791,54.080406,38.532465,32.137188,41.583353,1.40143755236935
"ABCB7",7.97635,7.97635,11.18593,7.852267,6.075745,8.371314,0.95785393595818
"ABCB8",33.23304,33.23304,18.529731,23.651367,21.054635,21.0785776666667,1.55050929986689
"ABCB9",31.39315,31.39315,15.865448,14.222772,16.455124,15.514448,1.96150364819944
"ABCC1",3.54388,3.54388,5.953924,4.982028,4.693158,5.20970333333333,0.731738660623079
"ABCC10",18.64981,18.64981,35.009112,58.850277,42.406563,45.421984,0.423286734147338
"ABCC11",0.16726,0.16726,0.25035,0.196406,0.516811,0.321189,0.883492066615753
"ABCC12",0.15681,0.15681,0,0.024085,0,0.00802833333333333,1.14759671107128
"ABCC13",0.35543,0.35543,0.022398,0.058119,0,0.026839,1.32000245413351
"ABCC2",0.06272,0.06272,0.146712,0.308158,0.143396,0.199422,0.886026769560672
"ABCC3",1.82944,1.82944,0.822929,0,0.384356,0.402428333333333,2.01752911913502
"ABCC4",3.8575,3.8575,3.767094,1.945293,3.623133,3.11184,1.18134460484844
"ABCC5",25.43441,25.43441,24.407761,29.952643,29.4664,27.942268,0.913349637975849
"ABCC6",0.45997,0.45997,0.709936,0.292227,1.18336,0.728507666666667,0.844641900151634
"ABCC6P1",0.07318,0.07318,0.402881,0.194607,0.446474,0.347987333333333,0.796135077431489
"ABCC6P2",0.09409,0.09409,1.433948,0.663051,0.936095,1.01103133333333,0.544044233356881
"ABCC8",10.87209,10.87209,14.908165,22.713792,23.804669,20.475542,0.552819109291863
"ABCC9",0.7945,0.7945,1.933667,0.299867,0.41351,0.882348,0.953330627492897
"ABCD1",6.76369,6.76369,7.188261,4.56707,5.591021,5.78211733333333,1.14472953185908
"ABCD2",1.589,1.589,0.823714,0.905926,0.985813,0.905151,1.35894740101966
"ABCD3",23.9395,23.9395,22.412866,15.820691,18.169306,18.8009543333333,1.259510000385
"ABCD4",25.36124,25.36124,63.780985,46.864754,55.905635,55.5171246666667,0.466429248753832
"ABCE1",15.03275,15.03275,47.892143,47.474433,56.270122,50.545566,0.311040332741714
"ABCF1",40.28945,40.28945,48.558347,63.90383,48.560484,53.6742203333333,0.755190467248913
"ABCF2",29.98187,29.98187,15.544121,48.430262,33.217097,32.39716,0.927679778759631
"ABCF3",62.56677,62.56677,38.478334,54.941591,52.139742,48.519889,1.28366139916024
"ABCG1",9.4399,9.4399,9.640229,12.006134,8.714856,10.1204063333333,0.938805623379649
"ABCG2",4.96562,4.96562,0.524925,0.589011,0.449804,0.521246666666667,3.92153365441502
"ABCG4",11.76067,11.76067,9.828186,11.963485,13.918554,11.9034083333333,0.988937935648785
"ABCG5",0.09409,0.09409,0.143393,0,0.032884,0.058759,1.03337020039499
"ABCG8",0.21953,0.21953,0.175022,0.165036,0.187492,0.17585,1.03714759535655
"ABHD1",2.06988,2.06988,0.980869,0.239741,0.305691,0.508767,2.03469455522291
"ABHD10",33.57802,33.57802,21.945498,27.924148,27.804594,25.8914133333333,1.2858387014244
"ABHD11",27.69246,27.69246,9.519305,7.909704,9.968295,9.13243466666667,2.83174389412956
"ABHD12",152.8051,152.8051,61.002748,58.3518,58.606077,59.3202083333333,2.5498104905418
"ABHD12B",1.73535,1.73535,1.215684,4.568525,10.647778,5.477329,0.422295980333869
"ABHD13",2.89574,2.89574,3.390322,2.495253,3.321503,3.069026,0.957413395736474
"ABHD14A",66.64381,66.64381,15.051411,20.447943,23.789903,19.7630856666667,3.25788811383639
"ABHD14B",32.82534,32.82534,7.978791,5.158438,4.171231,5.76948666666667,4.99673633549762
"ABHD15",5.26878,5.26878,1.666242,0.980568,1.679204,1.44200466666667,2.56706307140554
"ABHD16A",86.71535,86.71535,38.772235,39.606803,45.286219,41.2217523333333,2.07749193608789
"ABHD16B",14.72959,14.72959,0,0,0,0,15.72959
"ABHD2",40.91668,40.91668,36.149134,28.486848,25.146828,29.9276033333333,1.35531614099638
"ABHD3",21.57691,21.57691,9.642693,6.919606,4.384585,6.98229466666667,2.82837341175578
"ABHD4",20.10291,20.10291,39.666519,10.931269,10.1797,20.2591626666667,0.992650102493845
"ABHD5",9.24127,9.24127,7.984091,8.165592,14.175874,10.108519,0.921929376904338
"ABHD6",13.96645,13.96645,8.283415,13.65003,12.504431,11.479292,1.19930281301215
"ABHD8",33.32713,33.32713,6.351783,4.187949,6.20397,5.581234,5.21591087628855
"ABI1",20.06109,20.06109,15.274284,15.178726,16.016221,15.4897436666667,1.27722361400766
"ABI2",14.84458,14.84458,55.693149,35.541915,32.008028,41.0810306666667,0.37652547356809
"ABI3",28.44514,28.44514,0.080843,0.106816,0.123214,0.103624333333333,26.6804012114026
"ABI3BP",4.23384,4.23384,15.784185,1.403237,1.486131,6.22451766666667,0.724455284281262
"ABL1",12.37745,12.37745,25.90656,19.930765,26.375471,24.070932,0.533584072582543
"ABL2",3.27208,3.27208,6.897981,5.749299,4.319143,5.65547433333333,0.641889636416097
"ABLIM1",43.05974,43.05974,40.278722,80.432426,57.957359,59.556169,0.727584666064328
"ABLIM2",16.78901,16.78901,8.029056,12.377298,11.75464,10.7203313333333,1.5177907086472
"ABLIM3",33.63029,33.63029,55.789335,56.612711,66.861423,59.7544896666667,0.570003800377573
"ABO",0.56451,0.56451,0.183863,0.173732,0.075984,0.144526333333333,1.36694976291502
"ABR",47.79537,47.79537,197.043613,257.031715,274.908047,242.994458333333,0.199985566612083
"ABRA",1.81898,1.81898,0.063103,0.063272,0,0.042125,2.70503058654192
"ABRACL",15.0223,15.0223,11.912176,11.774747,14.945013,12.877312,1.15456797397075
"ABT1",17.48943,17.48943,4.02236,4.495368,5.868998,4.79557533333333,3.19026652861499
"ABTB1",128.13382,128.13382,8.227788,5.243431,7.957303,7.14284066666667,15.8585713863491
"ABTB2",3.15709,3.15709,3.451672,3.840048,4.832426,4.041382,0.824593335716278
"ACAA1",107.02734,107.02734,37.51069,45.687812,49.761725,44.3200756666667,2.38365312526288
"ACAA2",67.23968,67.23968,24.508458,12.44024,15.340642,17.42978,3.70268554480846
"ACACA",24.54583,24.54583,52.07295,52.263549,60.592741,54.9764133333333,0.456367753465686
"ACACB",11.31115,11.31115,5.82404,4.214339,4.586609,4.874996,2.09551632035154
"ACAD10",39.86084,39.86084,24.09517,13.699953,18.003391,18.5995046666667,2.08478942171906
"ACAD11",7.42229,7.42229,21.296656,12.759557,10.656436,14.9042163333333,0.529563344931865
"ACAD8",23.71997,23.71997,29.394922,40.292933,40.865493,36.851116,0.653084310644896
"ACAD9",31.85313,31.85313,20.618117,20.88167,21.133159,20.8776486666667,1.50167554569316
"ACADL",10.45393,10.45393,0.63777,0.16945,0.095375,0.300865,8.80485676838104
"ACADM",32.77307,32.77307,31.38729,31.831206,37.816546,33.6783473333333,0.973895026639197
"ACADS",28.90512,28.90512,3.919399,3.709052,4.464577,4.03100933333333,5.94415911770653
"ACADSB",5.8542,5.8542,7.753468,4.374615,3.829584,5.31922233333333,1.08465878211702
"ACADVL",745.69976,745.69976,417.243124,362.292121,441.590667,407.041970666667,1.82995822410138
"ACAN",0.09409,0.09409,0.61022,0.60714,1.230414,0.815924666666667,0.602497460430627
"ACAP1",16.41267,16.41267,11.702953,8.178989,5.156753,8.34623166666667,1.86306852012906
"ACAP2",5.09106,5.09106,18.902318,8.651381,7.061189,11.538296,0.485796475055303
"ACAP3",67.2815,67.2815,213.831943,213.096372,204.054479,210.327598,0.323107349187776
"ACAT1",141.03397,141.03397,113.018886,107.505607,145.26679,121.930427666667,1.15540125171559
"ACAT2",82.49196,82.49196,94.414141,82.903806,86.300184,87.8727103333333,0.939455539128357
"ACBD3",11.19616,11.19616,43.967242,69.083492,58.658097,57.236277,0.209425475464374
"ACBD4",14.40552,14.40552,5.340975,3.641431,4.100437,4.36094766666667,2.87365610669706
"ACBD5",20.22836,20.22836,15.374346,21.627524,21.759596,19.5871553333333,1.03114586043019
"ACBD6",80.75661,80.75661,30.045769,28.430908,40.527744,33.0014736666667,2.4045019578122
"ACBD7",0.48088,0.48088,1.327791,0.639002,1.059258,1.00868366666667,0.737239031000567
"ACCS",11.22752,11.22752,14.477036,14.943544,19.448083,16.2895543333333,0.707220080070311
"ACCSL",0,0,0,0,0,0,1
"ACD",16.4963,16.4963,13.137008,9.048602,13.611827,11.932479,1.35289606888208
"ACE",6.07373,6.07373,6.841322,8.479831,10.149919,8.49035733333333,0.745359711077967
"ACE2",0.1359,0.1359,0,0.095415,0.225191,0.106868666666667,1.02622834506714
"ACER1",0.10454,0.10454,0,0,0,0,1.10454
"ACER2",0.08363,0.08363,2.060095,1.631226,2.154176,1.948499,0.367519202143192
"ACER3",11.8234,11.8234,7.649808,4.8069,3.760922,5.40587666666667,2.00181812221382
"ACHE",247.40272,247.40272,52.081818,67.700639,62.028934,60.603797,4.03226314118268
"ACIN1",36.56785,36.56785,122.816081,100.430979,109.79734,111.0148,0.335382913686406
"ACLY",93.47905,93.47905,200.668971,184.300449,184.729433,189.899617666667,0.494914820442289
"ACMSD",0.1359,0.1359,0.185122,0.039662,0.088863,0.104549,1.02838353029155
"ACO1",12.07429,12.07429,9.64322,6.563351,6.68116,7.62924366666667,1.51511424465899
"ACO2",112.07659,112.07659,71.653142,76.994982,73.567485,74.0718696666667,1.50624448947497
"ACOT1",4.03522,4.03522,4.205801,4.758707,5.368048,4.77751866666667,0.871519468911567
"ACOT11",1.43219,1.43219,1.265227,0.289037,0.841305,0.798523,1.35232632554602
"ACOT12",0.22999,0.22999,0.237945,0.109798,0.174106,0.173949666666667,1.0477365724652
"ACOT13",113.34151,113.34151,11.326065,11.195552,12.209772,11.5771296666667,9.09122455046646
"ACOT2",11.03935,11.03935,24.173517,18.076715,19.437196,20.562476,0.558347288131474
"ACOT4",2.35213,2.35213,0.591094,0.748843,1.193545,0.844494,1.81737105135609
"ACOT6",0.09409,0.09409,0.245134,0.088672,0.12044,0.151415333333333,0.950213157951113
"ACOT7",824.49103,824.49103,80.632403,114.029529,128.44021,107.700714,7.59416382490367
"ACOT8",123.19957,123.19957,20.763417,18.37889,19.993785,19.7120306666667,5.99649411488576
"ACOT9",22.4864,22.4864,18.917753,21.089502,23.207269,21.071508,1.06410490846389
"ACOX1",12.56562,12.56562,21.711569,42.59937,35.250653,33.1871973333333,0.39680409797071
"ACOX2",12.28337,12.28337,5.471821,1.789143,2.323278,3.19474733333333,3.16666748779942
"ACOX3",6.50234,6.50234,11.236717,10.706481,12.961887,11.6350283333333,0.593773104584781
"ACOXL",0.63769,0.63769,0.106301,0.156535,0.132989,0.131941666666667,1.44679717005441
"ACP1",91.26281,91.26281,74.872622,58.654584,76.070071,69.865759,1.30193779481004
"ACP2",61.68864,61.68864,104.027156,109.16421,127.822959,113.671441666667,0.546680490703403
"ACP5",7.92408,7.92408,0,2.031601,2.612106,1.54790233333333,3.50252043936273
"ACP6",6.57552,6.57552,17.588665,10.559517,14.810767,14.3196496666667,0.494496947700001
"ACPP",1.11857,1.11857,0.265858,0.022854,0.050647,0.113119666666667,1.90327245438421
"ACR",0.49133,0.49133,0.041913,0,0.163679,0.0685306666666667,1.39568291909887
"ACRBP",1.62036,1.62036,0.967429,0.571787,0.527381,0.688865666666667,1.55155028118479
"ACRV1",1.60991,1.60991,0.120346,0.767177,1.18959,0.692371,1.54216185458153
"ACSBG1",34.69659,34.69659,6.630397,3.875408,5.355253,5.28701933333333,5.6778241178199
"ACSBG2",0.03136,0.03136,0.74582,0.53011,0.820644,0.698858,0.607090174693824
"ACSF2",12.0952,12.0952,42.632059,13.17411,6.555456,20.7872083333333,0.601049927996741
"ACSF3",29.46963,29.46963,22.250491,16.962759,21.849371,20.354207,1.42686778300875
"ACSL1",41.32439,41.32439,85.585307,101.814344,82.647096,90.0155823333333,0.465023558768126
"ACSL3",27.2743,27.2743,127.281776,105.351012,89.76463,107.465806,0.260674778925259
"ACSL4",18.97388,18.97388,69.219653,62.683685,53.413498,61.7722786666667,0.318195872832103
"ACSL5",4.58928,4.58928,0.206791,0.83348,0.182037,0.407436,3.97124984723994
"ACSL6",22.19369,22.19369,13.388689,15.367533,10.761177,13.1724663333333,1.63653167024634
"ACSM1",0.15681,0.15681,0.060423,0,0,0.020141,1.13397069620768
"ACSM2A",0.01045,0.01045,0.816039,2.615985,1.21988,1.55063466666667,0.39615630305869
"ACSM2B",0.07318,0.07318,0.4576,0.459343,0.100414,0.339119,0.801407492538004
"ACSM3",0.9304,0.9304,1.696961,2.786466,2.358993,2.28080666666667,0.588391879232953
"ACSM4",0,0,0.215017,0.529825,0.278182,0.341008,0.745707706441721
"ACSM5",7.64182,7.64182,0.201606,0,0.029441,0.0770156666666667,8.0238572821751
"ACSS1",10.40166,10.40166,7.426916,3.07265,5.466344,5.32197,1.8034979602877
"ACSS2",70.14587,70.14587,183.462238,133.340645,131.295035,149.365972666667,0.473151396810481
"ACSS3",5.10152,5.10152,6.876982,2.730375,3.127256,4.244871,1.16333080451359
"ACTA1",1.11857,1.11857,43.17532,0.074509,0.342321,14.5307166666667,0.136411605817718
"ACTA2",82.33516,82.33516,25.800466,5.539749,5.485474,12.2752296666667,6.2774929016294
"ACTB",3647.18813,3647.18813,2138.164791,2243.689595,2712.36844,2364.740942,1.54209113315502
"ACTBL2",0,0,0,0.02739,0.030881,0.0194236666666667,0.980946423649179
"ACTC1",4.652,4.652,869.621513,0.354562,0.525835,290.167303333333,0.019411520233539
"ACTG1",3916.71136,3916.71136,1869.624603,1654.156602,1676.836666,1733.53929033333,2.25864665149621
"ACTG2",3.1989,3.1989,5.162967,3.078347,2.858471,3.69992833333333,0.89339660143754
"ACTL10",1.54718,1.54718,0.061689,0.082599,0,0.048096,2.43029264494855
"ACTL6A",17.77168,17.77168,158.27347,137.510766,210.020503,168.601579666667,0.110681044580444
"ACTL6B",30.92273,30.92273,50.973446,92.448261,75.837415,73.086374,0.43088530692567
"ACTL7A",0,0,0,0,0.059905,0.0199683333333333,0.98042259481912
"ACTL7B",0.02091,0.02091,0.043131,0,0,0.014377,1.00644040627893
"ACTL8",0.02091,0.02091,0,0,0,0,1.02091
"ACTL9",0,0,0,0,0,0,1
"ACTN1",19.08888,19.08888,69.241658,47.821745,50.974833,56.0127453333333,0.352357703221401
"ACTN2",5.38377,5.38377,69.76771,1.253103,0.801863,23.940892,0.255955961799602
"ACTN4",154.94816,154.94816,209.643774,167.250481,183.429698,186.774651,0.83050698893324
"ACTR10",226.8921,226.8921,157.019067,205.113642,237.357145,199.829951333333,1.13475155716066
"ACTR1A",278.2209,278.2209,115.943189,124.852514,131.407319,124.067674,2.23255851068278
"ACTR1B",132.78582,132.78582,30.556702,30.517172,34.362579,31.812151,4.07732550054399
"ACTR2",57.96704,57.96704,96.131777,93.793262,100.811332,96.9121236666667,0.602244520818976
"ACTR3",75.04877,75.04877,61.541822,74.758475,82.615188,72.9718283333333,1.02807746832088
"ACTR3B",30.56729,30.56729,12.200305,11.066625,8.231572,10.4995006666667,2.74510093220859
"ACTR3C",5.16424,5.16424,0.478798,0.028455,0.143524,0.216925666666667,5.06542032011268
"ACTR5",6.39781,6.39781,2.300345,2.272068,2.6564,2.40960433333333,2.16969750057998
"ACTR6",37.71778,37.71778,26.189179,23.847515,19.715424,23.250706,1.59656300315545
"ACTR8",13.86191,13.86191,26.624084,28.334546,22.577852,25.845494,0.553609108478317
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",2.62394,2.62394,0.786164,0.893232,0.943422,0.874272666666667,1.93351803312858
"ACVR1",8.99038,8.99038,7.530875,6.531985,5.489665,6.51750833333333,1.32894831066588
"ACVR1B",13.88282,13.88282,35.019207,49.193225,49.103909,44.4387803333333,0.32753564005947
