"Hs_symbol","Heart","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"A1BG",0,0,6.574087,5.356817,5.122674,5.684526,51,37,35,0.149599238599715
"A1CF",0,0,0.063683,0.066053,0,0.0432453333333333,4,2,0,0.958547302392278
"A2M",723.94074,723.94074,47.469149,41.973869,31.55372,40.332246,2028,1448,1149,17.5393502690369
"A2ML1",0.46808,0.46808,0.229587,0.095002,0,0.108196333333333,6,4,0,1.3247472093543
"A2MP1",2.11268,2.11268,0.062851,0.01158,0.048479,0.04097,2,1,1,2.99017262745324
"A4GALT",7.94469,7.94469,33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,0.272498894150298
"A4GNT",0.10121,0.10121,0,0,0,0,0,0,0,1.10121
"AAAS",40.00176,40.00176,17.868209,17.289999,16.874782,17.34433,598,489,514,2.23511897136608
"AACS",7.10974,7.10974,6.792635,7.2732,5.012077,6.359304,382,296,228,1.10197105595855
"AACSP1",0,0,0.016684,0.017346,0.035141,0.023057,1,1,2,0.97746264382141
"AADAC",0.11386,0.11386,0.114227,0.093886,0.189067,0.132393333333333,3,2,4,0.983633484242813
"AADACL2",0,0,0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,0,0,1
"AADACL4",0.06325,0.06325,0,0,0,0,0,0,0,1.06325
"AADAT",4.46572,4.46572,2.803781,1.273732,1.256284,1.77793233333333,72,50,52,1.96754972553327
"AAGAB",32.38599,32.38599,13.5382,8.893211,8.17232,10.2012436666667,443,347,312,2.98056099782491
"AAK1",11.08208,11.08208,8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,1.66572908942722
"AAMP",28.35039,28.35039,48.914554,44.434024,32.481351,41.9433096666667,986,865,668,0.68346828010749
"AANAT",0.08856,0.08856,0.384486,0.191591,0.957074,0.511050333333333,4,2,7,0.720399563129488
"AAR2",11.34775,11.34775,9.629091,8.985329,7.802869,8.805763,494,440,373,1.25923398311789
"AARD",0.11386,0.11386,0.509473,0.537165,0.417107,0.487915,11,13,17,0.74860459098806
"AARS2",2.13798,2.13798,2.873718,2.217694,1.513002,2.20147133333333,289,218,155,0.980168076886315
"AARSD1",28.29979,28.29979,42.269472,45.211996,38.782538,42.088002,410,412,304,0.67999880802085
"AASDH",8.52662,8.52662,1.51679,1.429238,0.686802,1.21094333333333,72,62,45,4.3088485608707
"AASDHPPT",40.52044,40.52044,15.491333,11.332325,7.790263,11.5379736666667,438,436,306,3.31157498841985
"AASS",43.22771,43.22771,10.663442,6.340196,5.078783,7.360807,777,556,484,5.28988529456546
