"Hs_symbol","Heart","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",0,0,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,0.0989432302332781
"A1CF",0,0,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,0.980968556033905
"A2M",723.94074,723.94074,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,11.7719857639888
"A2ML1",0.46808,0.46808,0.729893,0.415146,1.694227,0.946422,8,7,12,0.754245482223279
"A2MP1",2.11268,2.11268,0.092784,0.262009,0.132758,0.162517,2,3,1,2.67753503819729
"A4GALT",7.94469,7.94469,10.846069,12.300869,12.113367,11.753435,217,235,152,0.701355360340175
"A4GNT",0.10121,0.10121,0,0,0,0,0,0,0,1.10121
"AAAS",40.00176,40.00176,15.794751,14.437361,18.892936,16.375016,243,314,228,2.35981135211616
"AACS",7.10974,7.10974,16.816166,15.213942,17.768125,16.599411,515,633,467,0.460796102778667
"AACSP1",0,0,0.49208,0.549654,1.355209,0.798981,14,22,27,0.555870239874685
"AADAC",0.11386,0.11386,0,0,0,0,0,0,0,1.11386
"AADACL2",0,0,0.015844,0,0,0.00528133333333333,1,0,0,0.994746412612854
"AADACL3",0,0,0.019721,0.018105,0,0.0126086666666667,1,1,0,0.987548332261295
"AADACL4",0.06325,0.06325,0,0,0,0,0,0,0,1.06325
"AADAT",4.46572,4.46572,23.254813,19.782313,24.720589,22.585905,444,388,330,0.231736708852173
"AAGAB",32.38599,32.38599,38.022919,40.964417,49.3614,42.782912,824,823,659,0.762534707604647
"AAK1",11.08208,11.08208,10.270345,12.426278,11.917593,11.538072,2058,2373,1545,0.963631409996689
"AAMP",28.35039,28.35039,70.693659,74.272111,74.414188,73.1266526666667,751,872,576,0.395949215891119
"AANAT",0.08856,0.08856,0.455665,0.118631,0.121817,0.232037666666667,3,1,2,0.883544415444008
"AAR2",11.34775,11.34775,12.288203,12.652486,12.834718,12.5918023333333,390,432,284,0.908470392459847
"AARD",0.11386,0.11386,0.417513,1.538506,1.037211,0.997743333333333,12,14,10,0.557559112531974
"AARS2",2.13798,2.13798,3.755461,4.640839,4.294325,4.23020833333333,242,329,196,0.599972276438956
"AARSD1",28.29979,28.29979,63.27632,66.968262,84.250953,71.4985116666667,365,428,308,0.404143331034359
"AASDH",8.52662,8.52662,3.182292,4.853213,4.954761,4.33008866666667,105,133,96,1.78732861604679
"AASDHPPT",40.52044,40.52044,129.667907,110.451006,134.287207,124.80204,3231,3083,2547,0.330045840274132
"AASS",43.22771,43.22771,4.313875,2.742641,4.506,3.854172,299,175,207,9.11127788632129
"AATF",24.35275,24.35275,14.476301,19.209898,14.950782,16.212327,208,297,163,1.4729414564341
"AATK",0.83495,0.83495,14.223841,16.332434,12.634368,14.396881,449,556,369,0.11917673456072
"ABAT",46.07413,46.07413,28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,1.50595144134186
"ABCA1",15.72492,15.72492,4.057191,3.554462,2.51638,3.376011,570,529,255,3.82195565778971
"ABCA10",28.56546,28.56546,2.244064,0.973671,2.240683,1.81947266666667,34,37,31,10.486166562116
"ABCA11P",9.27302,9.27302,2.783632,1.968935,3.820819,2.85779533333333,61,48,58,2.66292509383166
"ABCA12",0,0,0.083238,0.230357,0.054846,0.122813666666667,9,24,5,0.890619725861311
"ABCA13",0.0253,0.0253,0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,0.944863458798037
"ABCA17P",1.08797,1.08797,2.031216,2.837622,4.432733,3.10052366666667,10,18,15,0.509195939282877
"ABCA2",0.78435,0.78435,107.50449,75.111095,79.577059,87.397548,1545,1840,1190,0.0201855146479855
"ABCA3",1.10062,1.10062,51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,0.0373965402945487
"ABCA4",0.0506,0.0506,0.905126,0.080781,0.014008,0.333305,7,3,1,0.787966744293316
"ABCA5",33.05648,33.05648,15.166472,15.375498,16.666334,15.7361013333333,612,687,561,2.03491119715974
"ABCA6",30.9185,30.9185,0.380325,0.502694,0.140608,0.341209,12,17,6,23.798304365688
"ABCA7",1.44219,1.44219,53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,0.0554698440939399
"ABCA8",93.07177,93.07177,0.39584,0.133049,0.866773,0.465220666666667,3,4,10,64.2031416428288
"ABCA9",44.49278,44.49278,1.630893,5.875754,1.09333,2.866659,74,97,41,11.7653974658743
"ABCB1",11.91703,11.91703,1.409905,3.284378,1.946045,2.21344266666667,27,71,43,4.019685844714
"ABCB10",14.34598,14.34598,10.325898,7.423625,9.542775,9.09743266666667,388,332,292,1.51979027804361
"ABCB10P3",0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0.20241,0.20241,0.12983,0,0.121558,0.083796,3,0,2,1.10944310552908
"ABCB11",0.06325,0.06325,1.639649,3.496208,2.969016,2.70162433333333,7,12,8,0.287238764459531
"ABCB4",7.66637,7.66637,0.520114,0.10443,0.985588,0.536710666666667,4,3,5,5.63955869376408
"ABCB5",0,0,0,0.258936,0.058403,0.105779666666667,0,2,3,0.904339291221066
"ABCB6",17.10385,17.10385,45.798715,35.435408,31.250175,37.494766,534,550,292,0.470293805656592
"ABCB7",55.72667,55.72667,7.623563,5.152974,8.512265,7.09626733333333,182,173,131,7.00652135910203
"ABCB8",6.61636,6.61636,22.108301,23.197393,18.535002,21.280232,526,651,446,0.341843837173688
"ABCB9",0.8223,0.8223,13.147339,16.158433,16.129464,15.1450786666667,347,428,305,0.112870307889075
"ABCC1",6.17358,6.17358,4.341232,5.649856,8.644544,6.21187733333333,333,452,284,0.994689685977281
"ABCC10",5.79406,5.79406,47.610062,53.34286,79.775617,60.2428463333333,605,657,496,0.110936385337501
"ABCC11",0.10121,0.10121,0.569528,0.322889,0.314366,0.402261,8,11,9,0.785310295301659
"ABCC12",0.24036,0.24036,0.051357,0.030371,0,0.0272426666666667,2,1,0,1.20746542199701
"ABCC13",0,0,0.084804,0,0,0.028268,3,0,0,0.972509112410383
"ABCC2",0.22771,0.22771,0.295949,0.49826,0.480955,0.425054666666667,6,12,3,0.861517827152362
"ABCC3",1.12592,1.12592,0.450343,0.479305,0,0.309882666666667,4,3,0,1.62298506125739
"ABCC4",2.60606,2.60606,4.728571,5.721667,5.325962,5.25873333333333,242,283,134,0.576164506130101
"ABCC5",58.93997,58.93997,41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,1.34482705083199
"ABCC6",0.55663,0.55663,0.688326,0.691802,0.278854,0.552994,12,21,8,1.00234128399723
"ABCC6P1",0.16446,0.16446,0.625841,0.060185,0.401571,0.362532333333333,5,1,3,0.854629260174132
"ABCC6P2",0.15181,0.15181,0,0.457876,0,0.152625333333333,0,3,0,0.999292629348189
"ABCC8",1.54339,1.54339,44.948896,46.276289,61.444417,50.8898673333333,566,656,646,0.0490151571146177
"ABCC9",61.837,61.837,1.51249,0.676152,0.605353,0.931331666666667,166,81,48,32.5355820983622
"ABCD1",0.64519,0.64519,6.614678,7.050127,8.893207,7.51933733333333,192,234,142,0.193112437696641
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",4.75669,4.75669,1.111828,0.947205,1.460715,1.17324933333333,91,82,86,2.64888612259247
"ABCD3",69.59193,69.59193,14.822618,16.086553,17.331049,16.0800733333333,639,817,573,4.13299923380501
"ABCD4",31.47513,31.47513,49.321733,40.153747,59.337327,49.604269,485,502,452,0.641746845508232
"ABCE1",44.60664,44.60664,40.838605,40.205738,45.232008,42.092117,918,1004,713,1.05835227357245
"ABCF1",71.80581,71.80581,46.260735,63.760304,59.860432,56.627157,625,761,519,1.26339409733505
"ABCF2",34.68843,34.68843,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,1.17810023612557
"ABCF3",31.91791,31.91791,49.775637,52.727308,46.588001,49.696982,554,722,457,0.649307092875864
"ABCG1",14.34598,14.34598,7.097047,8.637267,8.443098,8.05913733333333,274,360,227,1.693978072673
"ABCG2",2.97293,2.97293,0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,3.66109388741055
"ABCG4",1.02471,1.02471,11.183928,15.998495,13.278866,13.4870963333333,433,622,404,0.139759545557887
"ABCG5",0.06325,0.06325,0.093551,0.161392,0.087861,0.114268,3,7,2,0.954213887502827
"ABCG8",0,0,0.279919,0.336852,0.476524,0.364431666666667,19,25,16,0.732905886333626
"ABHD1",11.14533,11.14533,1.219066,0.595476,1.404846,1.07312933333333,17,18,14,5.85845263231688
"ABHD10",71.17327,71.17327,20.734833,22.479951,21.319982,21.5115886666667,502,570,353,3.20604960710162
"ABHD11",9.04531,9.04531,5.79209,6.6316,4.983045,5.802245,56,74,48,1.47676392132303
"ABHD12",28.31244,28.31244,62.698382,74.955257,56.465736,64.7064583333333,591,762,413,0.446112007000834
"ABHD12B",0.43013,0.43013,3.562703,1.658765,4.615794,3.27908733333333,22,21,30,0.334213791071648
"ABHD13",8.53927,8.53927,2.86622,3.359063,3.388676,3.204653,195,241,166,2.26874132062741
"ABHD14A",3.30185,3.30185,25.012009,25.594496,21.460029,24.022178,268,287,164,0.171921485012216
"ABHD14B",13.7514,13.7514,1.988993,2.13046,2.242736,2.12072966666667,33,40,33,4.72690735040705
"ABHD15",4.35187,4.35187,0.139043,0.156659,0.265244,0.186982,6,8,8,4.50880468280058
"ABHD16A",17.74904,17.74904,34.317671,41.166479,61.739668,45.7412726666667,552,678,517,0.401123866132357
"ABHD16B",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ABHD2",18.11591,18.11591,24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,0.906124073789196
"ABHD3",11.79052,11.79052,2.112366,4.383957,4.812756,3.769693,34,41,40,2.68162332460391
"ABHD4",10.93027,10.93027,5.832204,5.914283,14.836758,8.86108166666667,103,107,75,1.20983380964461
"ABHD5",29.64077,29.64077,6.272151,9.717485,9.994526,8.66138733333333,224,264,185,3.17146688594964
"ABHD6",6.11033,6.11033,12.738211,13.156293,8.173231,11.3559116666667,201,211,124,0.575459763052693
