"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"A1BG",0,0,8.512248,7.362639,11.019571,8.96481933333333,0.100353048715585
"A1CF",0,0,0.012027,0,0.110455,0.0408273333333333,0.960774153381829
"A2M",723.94074,723.94074,166.022861,193.59196,157.990809,172.53521,4.17748501874634
"A2ML1",0.46808,0.46808,0.804659,0.257959,0.950643,0.671087,0.878517994574789
"A2MP1",2.11268,2.11268,0,0.07058,0.098361,0.0563136666666667,2.94673835833485
"A4GALT",7.94469,7.94469,4.719891,2.211286,2.676825,3.20266733333333,2.12833643268775
"A4GNT",0.10121,0.10121,0.099138,0,0,0.033046,1.06598350896281
"AAAS",40.00176,40.00176,22.215928,24.455156,21.480131,22.7170716666667,1.72878678178581
"AACS",7.10974,7.10974,17.933589,18.199238,25.629245,20.5873573333333,0.375670809297145
"AACSP1",0,0,0.872217,1.108501,1.29987,1.09352933333333,0.47766228257609
"AADAC",0.11386,0.11386,0,0,0,0,1.11386
"AADACL2",0,0,0,0,0.016678,0.00555933333333333,0.994471401985893
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.06325,0.06325,0,0,0,0,1.06325
"AADAT",4.46572,4.46572,13.595651,16.190365,22.775181,17.520399,0.295118911854977
"AAGAB",32.38599,32.38599,22.912872,27.695939,31.184347,27.264386,1.18120344096631
"AAK1",11.08208,11.08208,11.479212,14.408764,9.576512,11.821496,0.942329974598908
"AAMP",28.35039,28.35039,63.531145,62.598294,71.307854,65.812431,0.439295346101087
"AANAT",0.08856,0.08856,0.21683,0.243358,0.326805,0.262331,0.862341176759503
"AAR2",11.34775,11.34775,10.815465,10.804659,13.984677,11.868267,0.95955034193804
"AARD",0.11386,0.11386,1.609116,1.070727,1.582262,1.42070166666667,0.46013931222421
"AARS2",2.13798,2.13798,5.079803,4.491045,5.615728,5.062192,0.51763124625548
"AARSD1",28.29979,28.29979,51.795203,58.156602,82.475187,64.1423306666667,0.449781113143265
"AASDH",8.52662,8.52662,6.432077,7.774202,3.850395,6.01889133333333,1.35728273135634
"AASDHPPT",40.52044,40.52044,58.628575,94.077285,98.573128,83.7596626666667,0.489860845285415
"AASS",43.22771,43.22771,13.774036,8.645864,8.691924,10.370608,3.88965216283949
"AATF",24.35275,24.35275,15.556557,12.511396,24.184485,17.4174793333333,1.37655916649325
"AATK",0.83495,0.83495,10.041919,13.414946,14.753141,12.7366686666667,0.13358042219164
"ABAT",46.07413,46.07413,20.235765,20.679629,22.875907,21.263767,2.11438297930445
"ABCA1",15.72492,15.72492,9.443781,4.284659,2.688057,5.47216566666667,2.58413039180033
"ABCA10",28.56546,28.56546,4.203212,3.140601,2.629465,3.324426,6.83685187352032
"ABCA11P",9.27302,9.27302,2.951542,3.925685,3.428422,3.43521633333333,2.3162387644526
"ABCA12",0,0,0.045172,0.022129,0.054667,0.040656,0.960932334988699
"ABCA13",0.0253,0.0253,0.473253,0.153458,0.298046,0.308252333333333,0.783717310396542
"ABCA17P",1.08797,1.08797,3.708489,2.524203,3.578368,3.27035333333333,0.488945489288162
"ABCA2",0.78435,0.78435,65.073528,68.481942,65.791533,66.449001,0.0264548024958887
"ABCA3",1.10062,1.10062,27.609577,42.459618,39.449413,36.5062026666667,0.0560072694820398
"ABCA4",0.0506,0.0506,1.143229,0.018773,0.021485,0.394495666666667,0.753390652343368
"ABCA5",33.05648,33.05648,12.626236,11.918269,12.828291,12.4575986666667,2.53065058957026
"ABCA6",30.9185,30.9185,1.147123,0.606076,1.259058,1.00408566666667,15.9267143769802
"ABCA7",1.44219,1.44219,22.668326,32.522392,34.714621,29.9684463333333,0.0788605916394105
"ABCA8",93.07177,93.07177,41.403634,26.861255,35.063602,34.4428303333333,2.65418334583531
