"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",16.26198,16.26198,6.574087,5.356817,5.122674,5.684526,2.58237906472351
"A1CF",0,0,0.063683,0.066053,0,0.0432453333333333,0.958547302392278
"A2M",200.41955,200.41955,47.469149,41.973869,31.55372,40.332246,4.87318182515414
"A2ML1",1.36551,1.36551,0.229587,0.095002,0,0.108196333333333,2.1345585875427
"A2MP1",1.05517,1.05517,0.062851,0.01158,0.048479,0.04097,1.97428360087226
"A4GALT",6.95168,6.95168,33.003692,32.717969,29.75239,31.8246836666667,0.242246965142116
"A4GNT",0,0,0,0,0,0,1
"AAAS",45.86871,45.86871,17.868209,17.289999,16.874782,17.34433,2.55494258989017
"AACS",9.62064,9.62064,6.792635,7.2732,5.012077,6.359304,1.44315821170045
"AACSP1",0,0,0.016684,0.017346,0.035141,0.023057,0.97746264382141
"AADAC",0.46551,0.46551,0.114227,0.093886,0.189067,0.132393333333333,1.29417045902778
"AADACL2",0.12414,0.12414,0,0,0,0,1.12414
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.12414,0.12414,0,0,0,0,1.12414
"AADAT",6.67238,6.67238,2.803781,1.273732,1.256284,1.77793233333333,2.76190312770997
"AAGAB",10.5827,10.5827,13.5382,8.893211,8.17232,10.2012436666667,1.03405481968654
"AAK1",15.29991,15.29991,8.140723,4.98695,5.632312,6.25332833333333,2.24723178807338
"AAMP",105.08216,105.08216,48.914554,44.434024,32.481351,41.9433096666667,2.47028374905027
"AANAT",0.24827,0.24827,0.384486,0.191591,0.957074,0.511050333333333,0.826094255408655
"AAR2",9.86891,9.86891,9.629091,8.985329,7.802869,8.805763,1.10842062978679
"AARD",1.0862,1.0862,0.509473,0.537165,0.417107,0.487915,1.4020962218944
"AARS2",9.43443,9.43443,2.873718,2.217694,1.513002,2.20147133333333,3.2592607940474
"AARSD1",4.28273,4.28273,42.269472,45.211996,38.782538,42.088002,0.122603271323651
"AASDH",2.54481,2.54481,1.51679,1.429238,0.686802,1.21094333333333,1.60330205960352
"AASDHPPT",19.98609,19.98609,15.491333,11.332325,7.790263,11.5379736666667,1.67380236694813
"AASS",11.73097,11.73097,10.663442,6.340196,5.078783,7.360807,1.52269631388453
"AATF",73.61338,73.61338,18.011852,16.629179,17.421425,17.354152,4.06520442894883
"AATK",251.03651,251.03651,0.807211,1.215351,1.261386,1.09464933333333,120.323963533753
"ABAT",65.91687,65.91687,3.072307,1.855792,1.672802,2.20030033333333,20.9095594257247
"ABCA1",3.19653,3.19653,1.876267,0.885241,0.804978,1.18882866666667,1.91724919538395
"ABCA10",3.38274,3.38274,0.159011,0.678309,0.402902,0.413407333333333,3.10083292808726
"ABCA11P",4.59308,4.59308,1.985955,1.111808,0.940415,1.34605933333333,2.38403177640577
"ABCA12",0,0,0,0.006599,0,0.00219966666666667,0.997805161246977
"ABCA13",0.43448,0.43448,0.174113,0.034944,0.058673,0.0892433333333333,1.31695091087697
"ABCA17P",11.82407,11.82407,0.02167,0.266152,1.014407,0.434076333333333,8.9423900959247
"ABCA2",1386.02317,1386.02317,24.315816,17.365586,16.698512,19.4599713333333,67.7920387767243
"ABCA3",35.31704,35.31704,2.864033,2.329955,1.427765,2.207251,11.3234168451425
"ABCA4",2.54481,2.54481,0.012157,0.012809,0,0.008322,3.51555356324666
"ABCA5",14.95854,14.95854,4.156998,3.19961,2.228167,3.194925,3.80424918204735
"ABCA6",19.48954,19.48954,0.307074,0.113031,0.186072,0.202059,17.0453696532367
"ABCA7",38.79288,38.79288,11.353326,7.85688,8.990523,9.400243,3.82614906209403
"ABCA8",53.1928,53.1928,3.234198,1.719767,1.436738,2.13023433333333,17.3126974625861
"ABCA9",5.27583,5.27583,0.287344,0.110486,0.190728,0.196186,5.24653356585013
"ABCB1",34.57222,34.57222,0.03239,0.180298,0.191402,0.134696666666667,31.3495412870988
"ABCB10",5.12066,5.12066,4.005154,2.663769,2.895076,3.18799966666667,1.46147576102163
"ABCB11",0,0,0.266721,0.007328,0.0069,0.0936496666666667,0.914369592456329
"ABCB4",4.43791,4.43791,11.373936,10.12465,10.942716,10.8137673333333,0.460302784587316
"ABCB5",0.18621,0.18621,0.238192,0,0.073851,0.104014333333333,1.07445163000601
"ABCB6",28.7688,28.7688,8.326215,7.061364,8.704006,8.03052833333333,3.29646272080426
"ABCB7",9.12409,9.12409,13.831658,11.114692,9.446497,11.4642823333333,0.81224812863273
"ABCB8",16.97577,16.97577,11.02178,6.985446,5.674411,7.893879,2.02113948255873
"ABCB9",19.58265,19.58265,4.324097,2.790693,3.029996,3.38159533333333,4.69752417422391
"ABCC1",4.2517,4.2517,4.111846,2.414281,2.166516,2.89754766666667,1.3474370165924
"ABCC10",35.25497,35.25497,14.897475,9.350053,15.513101,13.253543,2.54357600773366
"ABCC11",1.45861,1.45861,0.152197,0,0.378463,0.176886666666667,2.08907966215948
"ABCC12",0.83793,0.83793,0.174113,0,0.046512,0.0735416666666667,1.71202483989909
"ABCC13",0.49655,0.49655,0,0.021593,0,0.00719766666666667,1.48585530877256
"ABCC2",0.83793,0.83793,0.206724,0.320286,0.182112,0.236374,1.486548568637
"ABCC3",9.86891,9.86891,0.348225,0.325404,0.504307,0.392645333333333,7.80450681867793
"ABCC4",2.23447,2.23447,0.874694,0.850797,0.835235,0.853575333333333,1.74498977291814
"ABCC5",21.22747,21.22747,26.815209,20.139758,16.661965,21.205644,1.00098290326549
"ABCC6",1.48965,1.48965,2.370812,3.482122,1.641663,2.498199,0.711694789232974
"ABCC6P1",0.62069,0.62069,1.554418,1.274452,1.425343,1.418071,0.67024086554944
"ABCC6P2",0,0,2.969539,3.945743,2.768744,3.22800866666667,0.236517963618176
"ABCC8",40.15839,40.15839,0.18336,0.761856,0.182109,0.375775,29.9165125111301
"ABCC9",2.14137,2.14137,5.937915,4.245439,2.802442,4.32859866666667,0.589530230462093
"ABCD1",6.26893,6.26893,9.855316,6.357848,6.647314,7.62015933333333,0.843247754353187
"ABCD2",0.62069,0.62069,0.210704,0.12733,0.165506,0.167846666666667,1.38775923779948
"ABCD3",22.4378,22.4378,10.323186,7.852999,5.423063,7.866416,2.6434356339698
"ABCD4",114.29935,114.29935,36.841234,32.142947,25.91358,31.632587,3.5332580282403
"ABCE1",12.13441,12.13441,25.279482,10.850918,4.462396,13.530932,0.903893157025303
"ABCF1",29.32742,29.32742,30.647549,12.146954,19.277681,20.690728,1.39817437201739
"ABCF2",13.28268,13.28268,6.164294,6.22041,10.611419,7.66537433333333,1.64824731749423
"ABCF3",52.78936,52.78936,42.225453,35.384299,25.704264,34.4380053333333,1.51784389369695
"ABCG1",10.27236,10.27236,4.885127,3.443918,3.219942,3.84966233333333,2.32435976470389
"ABCG2",26.44123,26.44123,0.576877,0.198017,0.199392,0.324762,20.7140829824527
"ABCG4",1.36551,1.36551,0.753032,0.371896,0.214828,0.446585333333333,1.63523709627915
"ABCG5",0.06207,0.06207,0,0.01593,0,0.00531,1.05646019635734
"ABCG8",0,0,0.035989,0.06211,0.039485,0.0458613333333333,0.956149699896481
"ABHD1",8.37926,8.37926,0.548215,0.837679,0.573511,0.653135,5.67362012176864
"ABHD10",12.59993,12.59993,4.682414,3.63352,2.996599,3.77084433333333,2.85063377670466
"ABHD11",12.19648,12.19648,16.413349,19.071503,13.597818,16.36089,0.760126928976567
"ABHD12",242.09863,242.09863,31.484105,29.04836,22.06709,27.533185,8.51985609037337
"ABHD12B",3.19653,3.19653,0.21345,0.366161,0.189974,0.256528333333333,3.33978143482638
"ABHD13",2.0793,2.0793,1.172633,1.326137,0.716184,1.07165133333333,1.4863987730239
"ABHD14A",68.67892,68.67892,8.546513,7.684425,5.406513,7.21248366666667,8.48451246031905
"ABHD14B",19.67575,19.67575,8.124944,8.387924,5.480449,7.33110566666667,2.48175342232486
"ABHD15",2.48274,2.48274,1.644095,1.578787,1.43262,1.551834,1.36479880744594
"ABHD16A",94.22016,94.22016,19.452254,20.109003,15.952975,18.504744,4.8818974501793
"ABHD16B",4.31377,4.31377,0,0,0,0,5.31377
"ABHD2",5.2448,5.2448,3.332886,2.82704,2.375777,2.84523433333333,1.62403626376303
"ABHD3",7.97582,7.97582,2.331696,3.741765,1.156728,2.410063,2.63215664930531
"ABHD4",24.02055,24.02055,15.0237,23.747182,16.357654,18.3761786666667,1.29130467005052
"ABHD5",29.73087,29.73087,7.210165,4.691474,4.783658,5.56176566666667,4.68332329453805
"ABHD6",34.57222,34.57222,2.357982,2.891814,1.502824,2.25087333333333,10.9423580535282
"ABHD8",21.91022,21.91022,4.748047,3.701303,3.322699,3.92401633333333,4.6527506102911
"ABI1",28.64467,28.64467,10.258949,6.855637,7.216852,8.11047933333333,3.2539089234895
"ABI2",34.38601,34.38601,21.727203,10.892244,9.493522,14.0376563333333,2.35315990840683
"ABI3",12.78613,12.78613,0.029558,0.160231,0.222847,0.137545333333333,12.1191917333111
"ABI3BP",4.40687,4.40687,0.659504,0.308934,0,0.322812666666667,4.08740416254456
"ABL1",29.04811,29.04811,7.760499,5.097737,3.86969,5.57597533333333,4.56937693298322
"ABL2",3.69308,3.69308,1.446018,0.98648,1.194757,1.209085,2.12444518884516
"ABLIM1",41.71011,41.71011,59.262507,38.678189,34.133185,44.024627,0.948594421448511
"ABLIM2",26.78261,26.78261,6.864886,5.835002,6.004859,6.23491566666667,3.84007378662373
"ABLIM3",56.73071,56.73071,1.439051,0.939932,0.795889,1.05829066666667,28.0478898995801
"ABO",1.36551,1.36551,0.108377,0.428422,0.100191,0.21233,1.95120965413708
"ABR",123.85792,123.85792,137.5781,52.298863,84.704982,91.527315,1.34941687219606
"ABRA",0.06207,0.06207,1.22541,0.904378,0.700678,0.943488666666667,0.546476044967932
"ABRACL",5.05859,5.05859,1.304502,3.067132,2.188819,2.18681766666667,1.90114108609707
"ABT1",4.43791,4.43791,3.32542,2.791458,2.174212,2.76369666666667,1.44483216412233
"ABTB1",48.9411,48.9411,4.435767,2.908722,2.928956,3.42448166666667,11.2874464767813
"ABTB2",42.02045,42.02045,6.950399,6.045716,4.152189,5.71610133333333,6.40556892530508
"ACAA1",75.50647,75.50647,73.219918,69.137641,52.278734,64.8787643333333,1.1613221767927
"ACAA2",75.22716,75.22716,33.764452,29.686524,22.134757,28.5285776666667,2.58147076572703
"ACACA",32.49292,32.49292,7.1497,4.870629,6.747958,6.25609566666667,4.61583219662622
"ACACB",5.52411,5.52411,26.02878,14.841445,7.767875,16.2127,0.379028856600069
"ACAD10",18.43438,18.43438,20.02537,13.653281,10.050915,14.576522,1.24767133510292
"ACAD11",18.15507,18.15507,6.08628,6.516346,6.250521,6.28438233333333,2.62960799192903
"ACAD8",12.44476,12.44476,17.886304,13.41606,11.385466,14.2292766666667,0.882823281385875
"ACAD9",16.85163,16.85163,9.950716,8.300763,6.289277,8.180252,1.94456862404213
"ACADL",1.24137,1.24137,0.430319,0.363646,0.199827,0.331264,1.68364051007163
"ACADM",40.59287,40.59287,55.824798,42.128201,34.763102,44.2387003333333,0.919409039020359
"ACADS",15.76543,15.76543,15.466497,14.289382,12.849752,14.201877,1.10285262800113
"ACADSB",5.80342,5.80342,6.230585,3.533107,3.515221,4.42630433333333,1.25378518823708
"ACADVL",558.18304,558.18304,539.418883,513.721339,438.661315,497.267179,1.12225541550269
"ACAN",2.23447,2.23447,0,0.022851,0,0.007617,3.21001928312047
"ACAP1",87.42364,87.42364,14.853065,11.82895,6.245988,10.976001,7.38340285709729
"ACAP2",12.22752,12.22752,2.720509,0.953916,0.841565,1.50533,5.2797515696535
"ACAP3",106.66491,106.66491,32.135196,15.329502,11.519368,19.6613553333333,5.21093162878344
"ACAT1",92.14086,92.14086,106.632562,103.500411,97.170077,102.43435,0.900482866668568
"ACAT2",32.58602,32.58602,7.765272,8.394048,3.664681,6.60800033333333,4.41456605263906
"ACBD3",12.25855,12.25855,26.857783,13.437707,11.62415,17.3065466666667,0.724251834134383
"ACBD4",16.63439,16.63439,4.538466,2.387986,1.850638,2.92569666666667,4.49204090314331
"ACBD5",44.13078,44.13078,7.618894,5.044549,4.657079,5.77350733333333,6.66283769678751
"ACBD6",167.8025,167.8025,23.154423,24.794667,23.033485,23.6608583333333,6.84495639682723
"ACBD7",9.15512,9.15512,0.572654,0.568327,0.510339,0.55044,6.54983101571167
"ACCS",16.07577,16.07577,8.564602,4.575821,7.352098,6.83084033333333,2.18057951294371
"ACCSL",0,0,0,0,0,0,1
"ACD",14.86543,14.86543,6.047245,4.588355,4.00999,4.88186333333333,2.69734760923268
"ACE",5.30687,5.30687,1.157448,0.481306,0.687591,0.775448333333333,3.55226895741827
"ACE2",0.0931,0.0931,0.292,0.608641,1.089188,0.663276333333333,0.657196869872695
"ACER1",0,0,0,0,0,0,1
