"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",16.26198,16.26198,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,1.70795606142224
"A1CF",0,0,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,0.980968556033905
"A2M",200.41955,200.41955,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,3.2707612420693
"A2ML1",1.36551,1.36551,0.729893,0.415146,1.694227,0.946422,8,7,12,1.21531199297994
"A2MP1",1.05517,1.05517,0.092784,0.262009,0.132758,0.162517,2,3,1,1.76786231943275
"A4GALT",6.95168,6.95168,10.846069,12.300869,12.113367,11.753435,217,235,152,0.623493200067276
"A4GNT",0,0,0,0,0,0,0,0,0,1
"AAAS",45.86871,45.86871,15.794751,14.437361,18.892936,16.375016,243,314,228,2.69747722822241
"AACS",9.62064,9.62064,16.816166,15.213942,17.768125,16.599411,515,633,467,0.603465650072039
"AACSP1",0,0,0.49208,0.549654,1.355209,0.798981,14,22,27,0.555870239874685
"AADAC",0.46551,0.46551,0,0,0,0,0,0,0,1.46551
"AADACL2",0.12414,0.12414,0.015844,0,0,0.00528133333333333,1,0,0,1.11823423227461
"AADACL3",0,0,0.019721,0.018105,0,0.0126086666666667,1,1,0,0.987548332261295
"AADACL4",0.12414,0.12414,0,0,0,0,0,0,0,1.12414
"AADAT",6.67238,6.67238,23.254813,19.782313,24.720589,22.585905,444,388,330,0.325295128594811
"AAGAB",10.5827,10.5827,38.022919,40.964417,49.3614,42.782912,824,823,659,0.264548415601045
"AAK1",15.29991,15.29991,10.270345,12.426278,11.917593,11.538072,2058,2373,1545,1.30003321084773
"AAMP",105.08216,105.08216,70.693659,74.272111,74.414188,73.1266526666667,751,872,576,1.43109335419517
"AANAT",0.24827,0.24827,0.455665,0.118631,0.121817,0.232037666666667,3,1,2,1.01317519242512
"AAR2",9.86891,9.86891,12.288203,12.652486,12.834718,12.5918023333333,390,432,284,0.799666573530462
"AARD",1.0862,1.0862,0.417513,1.538506,1.037211,0.997743333333333,12,14,10,1.04427829400841
"AARS2",9.43443,9.43443,3.755461,4.640839,4.294325,4.23020833333333,242,329,196,1.99503142800239
"AARSD1",4.28273,4.28273,63.27632,66.968262,84.250953,71.4985116666667,365,428,308,0.0728667372412955
"AASDH",2.54481,2.54481,3.182292,4.853213,4.954761,4.33008866666667,105,133,96,0.665056478735251
"AASDHPPT",19.98609,19.98609,129.667907,110.451006,134.287207,124.80204,3231,3083,2547,0.166818360020235
"AASS",11.73097,11.73097,4.313875,2.742641,4.506,3.854172,299,175,207,2.62268621713446
"AATF",73.61338,73.61338,14.476301,19.209898,14.950782,16.212327,208,297,163,4.33488046096266
"AATK",251.03651,251.03651,14.223841,16.332434,12.634368,14.396881,449,556,369,16.3693224621272
"ABAT",65.91687,65.91687,28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,2.14074177954189
"ABCA1",3.19653,3.19653,4.057191,3.554462,2.51638,3.376011,570,529,255,0.958985249351521
"ABCA10",3.38274,3.38274,2.244064,0.973671,2.240683,1.81947266666667,34,37,31,1.5544537997531
"ABCA11P",4.59308,4.59308,2.783632,1.968935,3.820819,2.85779533333333,61,48,58,1.44981252677479
"ABCA12",0,0,0.083238,0.230357,0.054846,0.122813666666667,9,24,5,0.890619725861311
"ABCA13",0.43448,0.43448,0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,1.32194258692735
"ABCA17P",11.82407,11.82407,2.031216,2.837622,4.432733,3.10052366666667,10,18,15,3.12742250562957
"ABCA2",1386.02317,1386.02317,107.50449,75.111095,79.577059,87.397548,1545,1840,1190,15.6907425758009
"ABCA3",35.31704,35.31704,51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,0.646538474230817
"ABCA4",2.54481,2.54481,0.905126,0.080781,0.014008,0.333305,7,3,1,2.65866399660993
