"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",16.26198,16.26198,18.566797,13.425058,13.989052,15.326969,1.05726788603568
"A1CF",0,0,0.232084,0.063162,0.004811,0.100019,0.90907520688279
"A2M",200.41955,200.41955,20.514891,0.866071,0.291101,7.224021,24.4916142602262
"A2ML1",1.36551,1.36551,0.466725,0.673839,0.170052,0.436872,1.64629138851617
"A2MP1",1.05517,1.05517,0.061885,0.170176,0.221341,0.151134,1.78534384354906
"A4GALT",6.95168,6.95168,13.724676,11.545392,14.652328,13.3074653333333,0.555771397291055
"A4GNT",0,0,0.153016,0.028124,0,0.06038,0.943058148965465
"AAAS",45.86871,45.86871,13.508489,16.738215,19.022055,16.4229196666667,2.69006061536682
"AACS",9.62064,9.62064,15.145339,10.858128,8.980095,11.6611873333333,0.838834441066902
"AACSP1",0,0,0.721078,1.223639,1.219131,1.054616,0.486708951940411
"AADAC",0.46551,0.46551,0,0,0,0,1.46551
"AADACL2",0.12414,0.12414,0,0,0,0,1.12414
"AADACL3",0,0,0,0.011945,0,0.00398166666666667,0.996034124129093
"AADACL4",0.12414,0.12414,0.043998,0,0,0.014666,1.10789166090122
"AADAT",6.67238,6.67238,16.560745,15.539194,12.933418,15.011119,0.479190742383465
"AAGAB",10.5827,10.5827,41.413864,42.849994,35.918127,40.0606616666667,0.282087514663772
"AAK1",15.29991,15.29991,11.518232,13.289394,13.438405,12.748677,1.18556207262706
"AAMP",105.08216,105.08216,72.348646,70.27047,54.966626,65.861914,1.58658575044681
"AANAT",0.24827,0.24827,0.253842,0.182542,0.515652,0.317345333333333,0.947564748904109
"AAR2",9.86891,9.86891,9.862522,12.742074,9.815474,10.80669,0.920572150196202
"AARD",1.0862,1.0862,0.160926,0.129803,0.240983,0.177237333333333,1.7721150535491
"AARS2",9.43443,9.43443,4.02726,4.870429,3.692426,4.196705,2.00789346326182
"AARSD1",4.28273,4.28273,57.596898,71.665882,48.347544,59.2034413333333,0.0877479739198076
"AASDH",2.54481,2.54481,5.317648,4.075445,5.487073,4.96005533333333,0.594761256690793
"AASDHPPT",19.98609,19.98609,104.747918,110.344793,89.985303,101.692671333333,0.204358205191494
