"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"A1BG",16.26198,16.26198,8.512248,7.362639,11.019571,8.96481933333333,1.73229231986745
"A1CF",0,0,0.012027,0,0.110455,0.0408273333333333,0.960774153381829
"A2M",200.41955,200.41955,166.022861,193.59196,157.990809,172.53521,1.16068404792319
"A2ML1",1.36551,1.36551,0.804659,0.257959,0.950643,0.671087,1.41555167385061
"A2MP1",1.05517,1.05517,0,0.07058,0.098361,0.0563136666666667,1.94560580332673
"A4GALT",6.95168,6.95168,4.719891,2.211286,2.676825,3.20266733333333,1.89205553742774
"A4GNT",0,0,0.099138,0,0,0.033046,0.968011105023397
"AAAS",45.86871,45.86871,22.215928,24.455156,21.480131,22.7170716666667,1.97615922651497
"AACS",9.62064,9.62064,17.933589,18.199238,25.629245,20.5873573333333,0.491984258934767
"AACSP1",0,0,0.872217,1.108501,1.29987,1.09352933333333,0.47766228257609
"AADAC",0.46551,0.46551,0,0,0,0,1.46551
"AADACL2",0.12414,0.12414,0,0,0.016678,0.00555933333333333,1.11792508182842
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.12414,0.12414,0,0,0,0,1.12414
"AADAT",6.67238,6.67238,13.595651,16.190365,22.775181,17.520399,0.414266452898774
"AAGAB",10.5827,10.5827,22.912872,27.695939,31.184347,27.264386,0.409798394346865
"AAK1",15.29991,15.29991,11.479212,14.408764,9.576512,11.821496,1.2712954868917
"AAMP",105.08216,105.08216,63.531145,62.598294,71.307854,65.812431,1.58776081654625
"AANAT",0.24827,0.24827,0.21683,0.243358,0.326805,0.262331,0.988861083186581
"AAR2",9.86891,9.86891,10.815465,10.804659,13.984677,11.868267,0.844628884371143
"AARD",1.0862,1.0862,1.609116,1.070727,1.582262,1.42070166666667,0.861816236476889
"AARS2",9.43443,9.43443,5.079803,4.491045,5.615728,5.062192,1.72123053839271
"AARSD1",4.28273,4.28273,51.795203,58.156602,82.475187,64.1423306666667,0.0810951948746159
"AASDH",2.54481,2.54481,6.432077,7.774202,3.850395,6.01889133333333,0.505038450042015
"AASDHPPT",19.98609,19.98609,58.628575,94.077285,98.573128,83.7596626666667,0.24759525155889
"AASS",11.73097,11.73097,13.774036,8.645864,8.691924,10.370608,1.11963845732788
"AATF",73.61338,73.61338,15.556557,12.511396,24.184485,17.4174793333333,4.05122648162602
"AATK",251.03651,251.03651,10.041919,13.414946,14.753141,12.7366686666667,18.3477170568721
"ABAT",65.91687,65.91687,20.235765,20.679629,22.875907,21.263767,3.00564006082169
"ABCA1",3.19653,3.19653,9.443781,4.284659,2.688057,5.47216566666667,0.648396567104767
"ABCA10",3.38274,3.38274,4.203212,3.140601,2.629465,3.324426,1.01348479543875
"ABCA11P",4.59308,4.59308,2.951542,3.925685,3.428422,3.43521633333333,1.26106137325583
"ABCA12",0,0,0.045172,0.022129,0.054667,0.040656,0.960932334988699
"ABCA13",0.43448,0.43448,0.473253,0.153458,0.298046,0.308252333333333,1.09648571873367
"ABCA17P",11.82407,11.82407,3.708489,2.524203,3.578368,3.27035333333333,3.00304658630902
"ABCA2",1386.02317,1386.02317,65.073528,68.481942,65.791533,66.449001,20.5640283686337
"ABCA3",35.31704,35.31704,27.609577,42.459618,39.449413,36.5062026666667,0.968294239829202
"ABCA4",2.54481,2.54481,1.143229,0.018773,0.021485,0.394495666666667,2.54200144520588
"ABCA5",14.95854,14.95854,12.626236,11.918269,12.828291,12.4575986666667,1.18583860280571
"ABCA6",19.48954,19.48954,1.147123,0.606076,1.259058,1.00408566666667,10.2238843083388
"ABCA7",38.79288,38.79288,22.668326,32.522392,34.714621,29.9684463333333,1.28494918898041
"ABCA8",53.1928,53.1928,41.403634,26.861255,35.063602,34.4428303333333,1.52902010054859
"ABCA9",5.27583,5.27583,1.381284,1.137468,5.074584,2.531112,1.77729565077517
"ABCB1",34.57222,34.57222,0.30007,0.314046,0.298593,0.304236333333333,27.2743666855879
"ABCB10",5.12066,5.12066,4.896031,7.84716,8.051324,6.931505,0.771689609979443
"ABCB11",0,0,1.175122,1.322998,0.805546,1.101222,0.475913539835391
"ABCB4",4.43791,4.43791,2.033786,0.852535,0.451585,1.11263533333333,2.57399368182488
"ABCB5",0.18621,0.18621,0.028091,0.34729,0.350931,0.242104,0.955000547458184
"ABCB6",28.7688,28.7688,54.080406,38.532465,32.137188,41.583353,0.699071301407383
"ABCB7",9.12409,9.12409,11.18593,7.852267,6.075745,8.371314,1.08032768937206
"ABCB8",16.97577,16.97577,18.529731,23.651367,21.054635,21.0785776666667,0.814172464883872
"ABCB9",19.58265,19.58265,15.865448,14.222772,16.455124,15.514448,1.24634199096452
"ABCC1",4.2517,4.2517,5.953924,4.982028,4.693158,5.20970333333333,0.845724782343332
"ABCC10",35.25497,35.25497,35.009112,58.850277,42.406563,45.421984,0.780987085773844
"ABCC11",1.45861,1.45861,0.25035,0.196406,0.516811,0.321189,1.86090710715878
"ABCC12",0.83793,0.83793,0,0.024085,0,0.00802833333333333,1.82329200402766
"ABCC13",0.49655,0.49655,0.022398,0.058119,0,0.026839,1.45743393073306
"ABCC2",0.83793,0.83793,0.146712,0.308158,0.143396,0.199422,1.53234641352251
"ABCC3",9.86891,9.86891,0.822929,0,0.384356,0.402428333333333,7.75006447150597
"ABCC4",2.23447,2.23447,3.767094,1.945293,3.623133,3.11184,0.786623506751235
"ABCC5",21.22747,21.22747,24.407761,29.952643,29.4664,27.942268,0.76799337218493
"ABCC6",1.48965,1.48965,0.709936,0.292227,1.18336,0.728507666666667,1.44034651856717
"ABCC6P1",0.62069,0.62069,0.402881,0.194607,0.446474,0.347987333333333,1.20230358247679
"ABCC6P2",0,0,1.433948,0.663051,0.936095,1.01103133333333,0.497257294515882
"ABCC8",40.15839,40.15839,14.908165,22.713792,23.804669,20.475542,1.91652392288865
"ABCC9",2.14137,2.14137,1.933667,0.299867,0.41351,0.882348,1.66885719325013
