Mm_genes,Hs_genes
Gnai3,GNAI3
Pbsn,None
Cdc45,CDC45
Scml2,None
Apoh,APOH
Narf,NARF
Cav2,CAV2
Klf6,KLF6
Scmh1,SCMH1
Cox5a,COX5A
Tbx2,TBX2
Tbx4,TBX4
Zfy2,None
Ngfr,NGFR
Wnt3,WNT3
Wnt9a,WNT9A
Fer,FER
Xpo6,XPO6
Tfe3,TFE3
Axin2,AXIN2
Brat1,BRAT1
Gna12,GNA12
Slc22a18,SLC22A18
Itgb2l,None
Igsf5,IGSF5
Pih1d2,PIH1D2
Dlat,DLAT
Sdhd,SDHD
Fgf23,FGF23
Fgf6,FGF6
Ccnd2,CCND2
Gpr107,GPR107
Nalcn,NALCN
Btbd17,BTBD17
Slfn4,None
Th,TH
Ins2,INS
Scnn1g,SCNN1G
Drp2,DRP2
Tspan32,TSPAN32
Lhx2,LHX2
Clec2g,None
Gmpr,GMPR
Glra1,GLRA1
Mid2,MID2
Trim25,TRIM25
Dgke,DGKE
Scpep1,SCPEP1
Mnt,MNT
Itgb2,ITGB2
Hddc2,HDDC2
Tpd52l1,TPD52L1
Pemt,PEMT
Cdh1,CDH1
Cdh4,CDH4
Ckmt1,CKMT1B
Bcl6b,BCL6B
Clec10a,CLEC10A
Alox12,ALOX12
Arvcf,ARVCF
Comt,COMT
Rtca,None
Dbt,DBT
Dazap2,DAZAP2
Mcts1,MCTS1
Rem1,REM1
Rnf17,RNF17
Trappc10,TRAPPC10
Ccm2,CCM2
Wap,None
Tbrg4,TBRG4
Tmprss2,TMPRSS2
Mx1,MX2
Fap,FAP
Gcg,GCG
Ndufa9,NDUFA9
Egfl6,EGFL6
Lck,LCK
Tssk3,TSSK3
Cttnbp2,CTTNBP2
Galnt1,GALNT1
Myf5,MYF5
Mkrn2,MKRN2
Pparg,PPARG
Raf1,RAF1
Sept1,None
Pdgfb,PDGFB
Acvrl1,ACVRL1
Grasp,None
Acvr1b,ACVR1B
Tom1l2,TOM1L2
Gpa33,GPA33
Zfp385a,None
Itga5,ITGA5
Gabra2,GABRA2
Wdr77,WDR77
Adora3,ADORA3
Atp5pb,ATP5PB
Sox9,SOX9
Hnrnpd,HNRNPD
Dynlt1c,None
C1d,C1D
Gm2a,GM2A
Krit1,KRIT1
Clcn4,CLCN4
Vmn2r88,None
Grm6,GRM6
Sema4f,SEMA4F
Hk2,HK2
Myo18a,MYO18A
Sez6,SEZ6
Haao,HAAO
Cd52,CD52
Abhd15,ABHD15
Hoxb6,HOXB6
Loxl3,LOXL3
Tcl1b5,TCL1B
Btn1a1,BTN1A1
Kat2b,KAT2B
Rab5b,RAB5B
Cryba1,CRYBA1
Dnmt3l,DNMT3L
Aire,AIRE
Icosl,None
Spg7,SPG7
Sult5a1,None
Rpl13,RPL13
Chmp1a,CHMP1A
Rpa1,RPA1
Serpinf1,SERPINF1
Tubgcp3,TUBGCP3
Oprm1,OPRM1
Polr3d,POLR3D
Tcf7,TCF7
Ddx3x,DDX3X
Il12rb1,IL12RB1
Slc5a5,SLC5A5
Kcnn3,KCNN3
Usp32,None
Car4,None
Txnrd3,TXNRD3
Fasl,None
Zfp512b,None
Dnajc5,DNAJC5
Tpd52l2,TPD52L2
Fmr1,FMR1
Bcl11a,BCL11A
Il4,IL4
Pxmp4,PXMP4
Dlg3,DLG3
Gnb1l,GNB1L
Dbh,DBH
Mmp11,MMP11
Smarcb1,SMARCB1
Vpreb3,None
Hip1r,HIP1R
Nsun5,NSUN5
Top1mt,TOP1MT
Hoxa10,HOXA10
Hoxa4,HOXA4
Mmp14,MMP14
Slc7a7,SLC7A7
Oxa1l,OXA1L
Heatr6,HEATR6
Ccl3,CCL3L3
Wfdc18,None
Icam4,ICAM4
Ilf2,ILF2
Chtop,CHTOP
Snapin,SNAPIN
S100a4,S100A4
S100a3,S100A3
S100a5,S100A5
S100a6,S100A6
Scn4a,SCN4A
Icam2,ICAM2
Mapk7,MAPK7
Epn2,EPN2
B9d1,B9D1
Sec24b,None
N4bp3,N4BP3
Rmnd5b,RMND5B
Nhp2,NHP2
Vps9d1,VPS9D1
Zfp276,None
C1ql4,C1QL4
Mfsd10,MFSD10
Luzp1,LUZP1
Slc13a2,SLC13A2
Kctd10,KCTD10
Poldip2,POLDIP2
Sebox,SEBOX
Ift20,IFT20
Col6a1,COL6A1
Pcbp3,PCBP3
Lgals9,LGALS9B
Araf,ARAF
Cfp,CFP
Timp1,TIMP1
Uxt,UXT
Cnnm3,CNNM3
Lman2l,LMAN2L
Mcm3ap,MCM3AP
Pcnt,PCNT
Ftcd,FTCD
Mxd1,MXD1
Gmcl1,GMCL1
Snrnp27,SNRNP27
Oas1c,OAS1
Oas1h,None
Ocrl,OCRL
Calm1,CALM1
Agpat3,AGPAT3
Slc26a3,SLC26A3
Sema6b,SEMA6B
Uhrf1,UHRF1
Dpp9,DPP9
Ramp2,RAMP2
Lsr,LSR
Gramd1a,GRAMD1A
Hpn,HPN
Gabrg1,GABRG1
Ckb,CKB
Sp1,SP1
Itgb7,ITGB7
Myg1,MYG1
Rarg,RARG
Pfdn5,PFDN5
Efnb2,EFNB2
Rrp15,RRP15
Rnd2,RND2
Srr,SRR
Sync,SYNC
Fndc5,FNDC5
Acp5,ACP5
Cnn1,CNN1
Fbxo9,FBXO9
Vps50,VPS50
Hars,None
Zmat2,ZMAT2
Ube2c,UBE2C
Smg5,SMG5
Cct3,CCT3
Glmp,GLMP
Mef2d,MEF2D
Tmem79,TMEM79
Snd1,SND1
Col18a1,COL18A1
Slc19a1,SLC19A1
Kpnb1,KPNB1
Npepps,NPEPPS
Tbx21,TBX21
Mrpl10,MRPL10
Cyp51,None
Tcf25,TCF25
Tubb6,TUBB6
Def8,DEF8
Meox1,MEOX1
Sost,SOST
Nkx2.1,None
Pax9,PAX9
Irx2,IRX2
Col1a1,COL1A1
Itga3,ITGA3
Sgca,SGCA
Dlx3,DLX3
Foxm1,FOXM1
Itfg2,ITFG2
Nrip2,NRIP2
Tulp3,TULP3
Gtf2h4,GTF2H4
Tubb5,TUBB
Ell2,ELL2
Jup,JUP
Fkbp10,FKBP10
Klhl10,KLHL10
Mnx1,MNX1
Nom1,NOM1
Ergic1,ERGIC1
Tnk1,TNK1
Acap1,ACAP1
Tcea3,TCEA3
Csn3,CSN3
Ifrd1,IFRD1
Stk38l,STK38L
Brpf1,BRPF1
Akr1b3,None
Hoxc13,HOXC13
Hoxc11,HOXC11
Hoxc8,HOXC8
Hoxc6,HOXC6
Gstt1,GSTT1
Gstt3,None
Ddt,DDT
Tat,TAT
Marveld3,MARVELD3
Ddx18,DDX18
Ubl3,UBL3
Gramd3,None
Eef1e1,EEF1E1
Akt1,AKT1
Cldn15,CLDN15
Il16,IL16
Tcirg1,None
Naglu,None
Coasy,COASY
Smo,SMO
Tspan33,TSPAN33
Crnkl1,CRNKL1
Rin2,RIN2
Folh1,FOLH1
Chordc1,CHORDC1
Rtcb,RTCB
Pwp1,PWP1
Fbxo7,FBXO7
Capns1,CAPNS1
Lrp3,None
Dsg4,DSG4
Evx2,EVX2
Hoxd13,HOXD13
Hoxd12,HOXD12
Folr1,FOLR1
Clpb,CLPB
Sept7,None
Zdhhc4,ZDHHC4
Rac1,RAC1
Nup214,NUP214
Aif1l,AIF1L
Cpa3,CPA3
Ltbp1,LTBP1
Ugp2,UGP2
Kcnh6,None
Trmt1,TRMT1
Nacc1,NACC1
Nfix,NFIX
Slc1a5,SLC1A5
Uba1,UBA1
Vwf,VWF
Siae,SIAE
Vsig2,VSIG2
Esam,ESAM
Spa17,SPA17
Fam50a,FAM50A
Emd,EMD
Taco1,TACO1
Grik3,GRIK3
Gria3,GRIA3
Npas1,NPAS1
Sipa1l2,SIPA1L2
Ap4e1,AP4E1
Blvra,BLVRA
Pdzd4,PDZD4
Srpk3,SRPK3
Idh3g,IDH3G
Pnck,PNCK
Ssr4,SSR4
Bcap31,BCAP31
Fam98a,FAM98A
Ltbp2,LTBP2
Kmt2a,KMT2A
Ift46,IFT46
Tmem25,TMEM25
Cd3g,CD3G
Trappc6a,TRAPPC6A
Supt6,None
Spag5,SPAG5
Foxn1,FOXN1
Unc119,UNC119
Rab34,RAB34
Sdf2,SDF2
Ccne1,CCNE1
Hsf2bp,HSF2BP
Bbc3,BBC3
Mybpc3,MYBPC3
Psmc3,PSMC3
Acp2,ACP2
Rapsn,RAPSN
Slc39a13,SLC39A13
Celf2,CELF2
Nr1h3,NR1H3
Ddb2,DDB2
Spi1,SPI1
Sf3a1,SF3A1
Stat6,STAT6
Clgn,CLGN
Napsa,NAPSA
Vrk3,VRK3
Smg9,SMG9
Paxip1,PAXIP1
Rmnd5a,RMND5A
Mov10,MOV10
Ppm1j,PPM1J
Rhoc,RHOC
Prr27,None
Tead3,TEAD3
Ppard,PPARD
Def6,DEF6
Peg3,PEG3
Zim1,None
Metrn,METRN
Lmf1,LMF1
Ciao3,CIAO3
Angptl4,ANGPTL4
Dbf4,DBF4
Daxx,DAXX
Cd320,CD320
Ipo4,IPO4
Tm9sf1,TM9SF1
Rec8,REC8
Irf9,IRF9
Gmpr2,GMPR2
Mdp1,MDP1
Dhrs1,DHRS1
Ncan,NCAN
Tmem161a,TMEM161A
Armc6,ARMC6
Borcs8,BORCS8
Slc25a42,SLC25A42
Snx9,SNX9
Ranbp3,RANBP3
Ndufa11,NDUFA11
Bmp8b,BMP8B
Nr2f6,NR2F6
Use1,USE1
Ocel1,OCEL1
Dyrk1b,DYRK1B
Braf,BRAF
Ndufb2,NDUFB2
Hltf,HLTF
Prpf6,PRPF6
Rgs19,RGS19
Rgs20,RGS20
Abhd3,ABHD3
Snrpd1,SNRPD1
Tchp,TCHP
Tiam1,TIAM1
Tsc2,TSC2
Rpl3l,None
Slc9a3r2,SLC9A3R2
Puf60,PUF60
Golga2,GOLGA2
Uck1,UCK1
Scin,SCIN
Ikzf4,IKZF4
Mien1,MIEN1
Pon1,PON1
Axl,AXL
Tgfb1,TGFB1
Ccdc97,CCDC97
Zfp40,None
Akap8l,AKAP8L
Shh,SHH
Pdcd2l,PDCD2L
Gtf2f1,GTF2F1
Clpp,CLPP
Alkbh7,ALKBH7
Pspn,PSPN
Dennd1c,DENND1C
Med6,MED6
Prkd1,PRKD1
Lcp2,LCP2
Cse1l,CSE1L
Naa20,NAA20
Prkra,PRKRA
Fkbp7,FKBP7
Plekha3,PLEKHA3
Ykt6,YKT6
Baz1b,BAZ1B
Pex6,PEX6
Mrpl2,MRPL2
Mea1,MEA1
Gnmt,GNMT
Grin2d,GRIN2D
Kdelr1,KDELR1
Tmem143,TMEM143
Pdxk.ps,None
Ggct,GGCT
Jag2,JAG2
Btbd6,BTBD6
Nudt14,NUDT14
Epdr1,EPDR1
Flii,FLII
Top3a,TOP3A
Atg4d,ATG4D
Qtrt1,QTRT1
Plin4,PLIN4
Hdgfl2,HDGFL2
Chaf1a,CHAF1A
Adprh,ADPRH
Tmem39a,TMEM39A
Timmdc1,TIMMDC1
Pla1a,PLA1A
Mcm2,MCM2
Tpra1,TPRA1
Nab1,NAB1
Adgre5,ADGRE5
Il17ra,IL17RA
Lamb1,LAMB1
Kcnn1,KCNN1
Arrdc2,ARRDC2
Ppp1r17,PPP1R17
Cd36,CD36
Map2k7,MAP2K7
Timm44,TIMM44
Ap2a2,AP2A2
Pnkp,PNKP
Med25,MED25
Bcam,BCAM
Clptm1,CLPTM1
Relb,RELB
Tomm40,TOMM40
Apoe,APOE
Apoc2,APOC2
Hbp1,HBP1
Prkar2b,PRKAR2B
Cdkn1b,CDKN1B
Klf4,KLF4
Ap1m1,AP1M1
